pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
3.465549,0.000000,18.487980,0.000000,3.590747,18.487980,319.629630,428.051111,0.866071,2.704911,0.433036,1.352455,0.071429,50.000000,0.000000,0.121094,0.595977
9.760664,0.000000,7.904979,0.000000,9.760664,7.904979,232.100694,198.125000,1.100000,3.365909,0.550000,1.682955,0.100000,50.000000,0.000000,0.318316,0.305131
3.045577,0.000000,22.971583,0.000000,3.170775,22.971583,310.554784,536.000000,1.000000,2.540625,0.500000,1.270313,0.142857,50.000000,0.000000,0.114102,0.750195
6.086007,0.000000,11.395378,0.000000,6.086007,11.395378,146.012346,256.690000,1.008929,3.119643,0.504464,1.559821,0.142857,50.000000,0.000000,0.203622,0.387760
7.161197,0.000000,19.262443,0.000000,7.161197,19.262443,171.593750,455.638889,1.071429,2.828409,0.535714,1.414205,0.142857,50.000000,0.000000,0.238951,0.654402
5.960317,0.000000,2.625042,0.000000,5.960317,2.625042,156.051775,74.036952,3.365909,6.625793,1.682955,3.312896,0.111111,90.000000,0.000000,0.261456,0.224277
6.552624,0.000000,2.122085,0.000000,6.552624,2.122085,154.444444,47.101578,1.400000,6.536518,0.700000,3.268259,0.200000,140.000000,0.000000,0.225602,0.190083
-3.023822,0.000000,31.161816,0.000000,8.603559,31.161816,25.600000,612.000000,8.221250,10.928339,4.110625,5.464169,0.200000,10.000000,0.000000,0.178885,1.091123
32.247393,0.000000,44.825906,0.000000,32.247393,44.825906,487.358025,258.374150,10.590372,12.225893,5.295186,6.112947,0.125000,60.000000,5.000000,0.731964,0.576930
30.819764,0.000000,45.340261,0.000000,30.819764,45.340261,487.358025,258.374150,10.590372,12.225893,5.295186,6.112947,0.125000,60.000000,5.000000,0.731964,0.576930
7.209570,0.000000,47.966796,0.000000,7.209570,47.966796,28.800000,258.374150,8.221250,12.225893,4.110625,6.112947,0.250000,70.000000,0.000000,0.199627,0.576930
31.653960,0.000000,46.443409,0.000000,31.653960,46.443409,487.358025,258.374150,10.590372,12.225893,5.295186,6.112947,0.125000,60.000000,5.000000,0.731964,0.576930
31.413197,0.000000,43.722759,0.000000,31.413197,43.722759,487.358025,258.374150,10.590372,12.225893,5.295186,6.112947,0.125000,60.000000,5.000000,0.731964,0.576930
3.139491,0.000000,46.863648,0.000000,3.139491,46.863648,28.800000,258.374150,8.221250,12.225893,4.110625,6.112947,0.250000,70.000000,0.000000,0.199627,0.576930
-2.045293,0.000000,1.928650,0.000000,16.733524,13.156516,203.510204,94.448889,6.417708,11.590981,3.208854,5.795490,0.250000,90.000000,0.000000,0.294668,0.337951
-5.982885,0.000000,15.749229,0.000000,9.101420,26.977095,60.142857,60.570000,9.733334,11.199760,4.866667,5.599880,0.142857,20.000000,0.000000,0.267979,0.294555
36.891635,0.000000,88.126579,0.000000,36.891635,88.126579,990.106667,96.856667,12.526373,15.970199,6.263187,7.985100,0.166667,30.000000,5.000000,1.410940,0.439414
41.162214,0.000000,92.892045,0.000000,41.162214,92.892045,990.106667,96.856667,12.526373,15.970199,6.263187,7.985100,0.166667,30.000000,5.000000,1.410940,0.439414
11.682106,0.000000,784.336735,0.000000,11.682106,784.336735,138.253333,78.433673,9.918967,23.303933,4.959483,11.651967,0.125000,70.000000,0.000000,0.273688,0.538325
3.158359,0.000000,753.500000,0.000000,3.158359,753.500000,79.698413,75.350000,9.926153,21.220262,4.963077,10.610131,0.200000,70.000000,0.000000,0.300761,0.492298
29.959134,0.000000,784.336735,0.000000,29.959134,784.336735,356.977851,78.433673,12.460843,23.303933,6.230421,11.651967,0.125000,50.000000,5.000000,0.755480,0.538325
84.966406,0.000000,591.881366,0.000000,84.966406,591.881366,604.860166,70.756173,17.155388,20.751861,8.577694,10.375930,0.100000,10.000000,5.000000,1.095012,0.472698
21.919422,0.000000,753.500000,0.000000,21.919422,753.500000,301.067851,75.350000,11.174596,21.220262,5.587298,10.610131,0.111111,50.000000,5.000000,0.586381,0.492298
