thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,theta,stability_bin,pre_E_total,post_E_total
4,0.000000,0.000000,4.374239,0.000000,0.000000,4.374239,196.801020,104.000000,0.000000,2.208333,0.000000,1.104167,0.200000,40.000000,0.000000,0.000000,0.000000,0.174910
4,0.000000,0.000000,3.544581,0.000000,0.000000,3.544581,178.351020,86.000000,0.000000,1.875000,0.000000,0.937500,0.200000,40.000000,0.000000,0.000000,0.000000,0.141959
4,0.000000,0.000000,3.813529,0.000000,0.000000,3.813529,44.050000,90.000000,0.000000,2.333333,0.000000,1.166667,0.200000,40.000000,0.000000,0.000000,0.000000,0.158529
4,0.000000,0.000000,3.495173,0.000000,0.000000,3.495173,201.106576,85.555556,0.000000,2.075000,0.000000,1.037500,0.200000,40.000000,0.000000,0.000000,0.000000,0.146426
4,0.000000,0.000000,8.358603,0.000000,0.000000,8.358603,544.680000,200.000000,0.000000,4.690625,0.000000,2.345312,0.125000,140.000000,0.000000,0.000000,0.000000,0.340071
4,0.000000,0.000000,4.098077,0.000000,0.000000,4.098077,134.930000,109.333333,0.000000,6.405153,0.000000,3.202576,0.200000,220.000000,0.000000,0.000000,0.000000,0.262214
4,3.555704,0.000000,14.456083,0.000000,5.838077,14.456083,65.040000,265.750000,3.950000,9.451055,1.975000,4.725528,0.250000,130.000000,0.000000,0.000000,0.115709,0.547111
4,0.000000,0.000000,13.486729,0.000000,0.000000,13.486729,6416.666667,223.710000,0.000000,9.222921,0.000000,4.611461,0.166667,370.000000,0.000000,0.000000,0.000000,0.464235
4,19.587932,0.000000,640.336674,0.000000,19.587932,640.336674,176.859504,405.254849,14.354454,21.888294,7.177227,10.944147,0.062500,190.000000,0.000000,5.000000,0.509924,0.947174
4,19.427090,0.000000,654.759655,0.000000,19.427090,654.759655,176.859504,405.254849,14.354454,21.888294,7.177227,10.944147,0.062500,190.000000,0.000000,5.000000,0.509924,0.947174
4,20.062876,0.000000,660.260943,0.000000,20.062876,660.260943,176.859504,405.254849,14.354454,21.888294,7.177227,10.944147,0.062500,190.000000,0.000000,5.000000,0.509924,0.947174
4,19.902034,0.000000,674.683925,0.000000,19.902034,674.683925,176.859504,405.254849,14.354454,21.888294,7.177227,10.944147,0.062500,190.000000,0.000000,5.000000,0.509924,0.947174
4,123.404253,0.000000,2171.786447,0.000000,123.404253,2171.786447,872.101111,1012.858219,14.733205,20.644477,7.366602,10.322238,0.111111,80.000000,0.000000,5.000000,1.399286,1.665892
4,147.496152,0.000000,2947.971803,0.000000,147.496152,2947.971803,872.101111,1012.858219,14.733205,20.644477,7.366602,10.322238,0.111111,80.000000,0.000000,5.000000,1.399286,1.665892
