pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
31780.963405,0.000000,4277756665.871467,0.000000,31780.963405,4277756665.871467,2089.643595,2705.891162,22.945901,28.372798,11.472950,14.186399,0.076923,1220.000000,10.000000,8.370423,11.203039
5538.686545,0.000000,15135938714.513668,0.000000,5569.294370,15135938714.513668,30648.527778,2792.068708,3.173495,33.210593,1.586747,16.605296,0.285714,5860.000000,0.000000,355.672858,11.413255
502.068059,0.000000,3564392530.467030,0.000000,502.068059,3564392530.467030,115.277477,239.114398,20.855046,30.033039,10.427523,15.016520,0.090909,2270.000000,10.000000,0.792257,1.554894
475218.262174,0.000000,54821020671.122513,0.000000,475218.262174,54821020671.122513,296.606921,597.143816,18.380174,27.959800,9.190087,13.979900,0.062500,1560.000000,5.000000,0.926557,1.863963
52261.124560,0.000000,1162931007410204.000000,0.000000,52261.124560,1162931007410204.000000,211.864534,397.861611,11.639549,35.932114,5.819774,17.966057,0.125000,2510.000000,5.000000,1.465668,1.789753
314202529277.523987,0.000000,9057940417379094.000000,0.000000,314202529277.523987,9057940417379094.000000,81.554262,777.844545,25.110925,27.809787,12.555462,13.904894,0.090909,520.000000,10.000000,0.726969,8.864913
7354646573.682438,0.000000,8836379232333472.000000,0.000000,7354646573.682438,8836379232333472.000000,63.828283,838.640000,18.356038,22.115963,9.178019,11.057981,0.250000,650.000000,5.000000,0.559629,9.601724
471480699469360594944.000000,0.000000,816759763897789399974281216.000000,0.000000,471480699469360594944.000000,816759763897789399974281216.000000,288.006510,258.108349,35.490249,40.971755,17.745125,20.485878,0.090909,780.000000,15.000000,1.442510,1.397233
200691201071024930816.000000,0.000000,248381212423894734874324500480.000000,0.000000,200691201071024930816.000000,248381212423894734874324500480.000000,366.720677,336.658889,43.985738,52.152494,21.992869,26.076247,0.090909,1020.000000,20.000000,1.724341,1.724575
257512617740220181250048.000000,0.000000,1257962885315743050699586600712536064.000000,0.000000,257512617740220181250048.000000,1257962885315743050699586600712536064.000000,290.455814,238.732256,30.485644,44.081554,15.242822,22.040777,0.083333,1670.000000,15.000000,1.989781,1.482007
6995963548961.225586,0.000000,2148189446744503900991563834241056768.000000,0.000000,6995963548961.225586,2148189446744503900991563834241056768.000000,121.414556,86.514031,15.933922,45.557996,7.966961,22.778998,0.076923,3180.000000,5.000000,0.922800,1.076682
707336885211766746559761157366537351331840.000000,0.000000,653299723247751242901347580233985369143861313536.000000,0.000000,707336885211766746559761157366537351331840.000000,653299723247751242901347580233985369143861313536.000000,746.564536,886.684396,47.058340,47.714950,23.529170,23.857475,0.041667,370.000000,20.000000,2.948639,1.734978
1493.188218,0.000000,635446866431239708610995466916988653527824859136.000000,0.000000,1493.188218,635446866431239708610995466916988653527824859136.000000,558.175462,886.684396,18.539654,47.714950,9.269827,23.857475,0.090909,8070.000000,5.000000,1.092860,3.579528
209260207058226793273814414083975834871007281152.000000,0.000000,153711274752608528094566991028344683267978644461981794304.000000,0.000000,209260207058226793273814414083975834871007281152.000000,153711274752608528094566991028344683267978644461981794304.000000,136.404946,110.606925,36.250252,42.789164,18.125126,21.394582,0.142857,560.000000,15.000000,1.620993,1.142509
4791883753615542.000000,0.000000,206576830932846327384016482398651517198734947192912564574853399066280198144.000000,0.000000,4791883753615542.000000,206576830932846327384016482398651517198734947192912564574853399066280198144.000000,2548.711394,1612.694790,29.519627,65.394508,14.759813,32.697254,0.142857,7190.000000,10.000000,8.463431,4.389376
