chi,dp_norm,coh,stab,rad,size,ratio
0.250000,0.695063,1.722222,1.577106,1.791667,16.000000,0.632653
0.166667,0.030478,4.500000,2.565368,1.400000,6.000000,0.818182
0.166667,0.378654,3.500000,2.252149,1.600000,6.000000,0.777778
0.285714,1.000000,1.833333,3.063987,1.476190,7.000000,0.647059
0.142857,0.378727,4.000000,4.065317,1.428571,7.000000,0.800000
0.111111,0.305142,4.200000,4.677189,1.416667,9.000000,0.807692
0.111111,0.000675,1.636364,4.380119,1.600000,10.000000,0.620690
0.125000,0.334805,4.400000,5.304291,1.787879,12.000000,0.814815
0.142857,0.056016,3.333333,4.531664,2.248739,35.000000,0.769231
0.142857,0.057632,3.333333,4.531664,2.248739,35.000000,0.769231
0.071429,0.365924,4.142857,5.432872,1.769231,14.000000,0.805556
0.071429,0.013895,3.333333,4.531664,2.248739,35.000000,0.769231
0.142857,0.013895,3.333333,4.531664,2.248739,35.000000,0.769231
0.071429,0.365924,4.142857,5.432872,1.769231,14.000000,0.805556
0.071429,0.056016,3.333333,4.531664,2.248739,35.000000,0.769231
0.100000,0.334805,4.400000,5.304291,1.787879,12.000000,0.814815
0.125000,0.241539,2.900000,6.582764,1.769231,14.000000,0.743590
0.153846,0.067881,2.187500,3.051930,1.615385,13.000000,0.686275
0.153846,0.393648,3.333333,4.531664,2.248739,35.000000,0.769231
0.153846,0.093152,2.700000,2.735907,1.400000,10.000000,0.729730
0.153846,0.182025,3.000000,3.833689,1.713450,19.000000,0.750000
0.153846,0.119398,2.187500,3.051930,1.615385,13.000000,0.686275
0.153846,0.236819,3.333333,4.531664,2.248739,35.000000,0.769231
0.153846,0.119398,2.187500,3.051930,1.615385,13.000000,0.686275
0.153846,0.393648,3.333333,4.531664,2.248739,35.000000,0.769231
0.153846,0.093152,2.700000,2.735907,1.400000,10.000000,0.729730
0.153846,0.091957,3.000000,3.833689,1.713450,19.000000,0.750000
0.153846,0.119398,2.187500,3.051930,1.615385,13.000000,0.686275
0.153846,0.359462,3.333333,4.531664,2.248739,35.000000,0.769231
0.066667,0.358148,3.818182,7.425265,1.929825,19.000000,0.792453
0.066667,0.299707,1.937500,6.103683,1.885714,15.000000,0.659574
0.076923,0.370666,2.866667,13.315322,1.666667,15.000000,0.741379
0.076923,0.086429,3.000000,19.160682,1.805419,29.000000,0.750000
0.076923,0.370887,2.866667,13.315322,1.666667,15.000000,0.741379
0.076923,0.103321,3.000000,19.160682,1.805419,29.000000,0.750000
0.076923,0.120039,1.937500,6.551173,1.747253,14.000000,0.659574
0.076923,0.090465,3.000000,19.160682,1.805419,29.000000,0.750000
0.111111,0.301963,4.615385,7.161502,1.870130,22.000000,0.821918
0.222222,0.097635,3.161290,17.130395,1.798942,28.000000,0.759690
0.222222,0.077347,3.161290,17.130395,1.798942,28.000000,0.759690
0.222222,0.136891,3.161290,17.130395,1.798942,28.000000,0.759690
0.055556,0.065524,2.642857,20.500409,1.840860,31.000000,0.725490
0.055556,0.151238,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.041165,2.642857,20.500409,1.840860,31.000000,0.725490
0.055556,0.151238,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.041165,2.642857,20.500409,1.840860,31.000000,0.725490
0.055556,0.158037,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.065524,2.642857,20.500409,1.840860,31.000000,0.725490
0.055556,0.158037,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.151238,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.018858,2.642857,20.500409,1.840860,31.000000,0.725490
0.055556,0.158037,1.687500,14.173046,1.738562,18.000000,0.627907
0.055556,0.018858,2.642857,20.500409,1.840860,31.000000,0.725490
0.142857,0.310672,2.846154,10.390572,1.681319,14.000000,0.740000
0.142857,0.288695,1.937500,6.103683,1.885714,15.000000,0.659574
0.142857,0.331049,2.846154,10.390572,1.681319,14.000000,0.740000
0.142857,0.288695,1.937500,6.103683,1.885714,15.000000,0.659574
0.083333,0.635321,3.142857,11.140179,1.960591,29.000000,0.758621
0.058824,0.031482,2.000000,9.567718,1.953846,26.000000,0.666667
0.142857,0.055526,1.971429,10.166144,1.920000,25.000000,0.663462
0.142857,0.266968,1.703704,13.522683,1.658333,16.000000,0.630137
0.142857,0.502620,3.833333,7.552807,1.488889,10.000000,0.793103
0.125000,0.272006,2.367647,24.065217,1.811538,40.000000,0.703057
0.125000,0.096774,2.200000,12.638041,1.607143,8.000000,0.687500
0.166667,0.389163,2.295082,24.554215,1.796825,36.000000,0.696517
0.125000,0.111111,2.200000,12.638041,1.607143,8.000000,0.687500
0.125000,0.250604,2.367647,24.065217,1.811538,40.000000,0.703057
0.125000,0.096774,2.200000,12.638041,1.607143,8.000000,0.687500
0.125000,0.250604,2.367647,24.065217,1.811538,40.000000,0.703057
0.166667,1.000000,2.295082,24.554215,1.796825,36.000000,0.696517
