pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,4.817551,0.000000,0.000000,4.817551,145.571429,52.325000,0.000000,1.875000,0.000000,0.937500,0.200000,200.000000,0.000000,0.000000,0.385496
0.000000,0.000000,2.276013,0.000000,0.000000,2.276013,40.571429,29.000000,0.000000,1.800000,0.000000,0.900000,0.200000,200.000000,0.000000,0.000000,0.167912
0.000000,0.000000,5.427716,0.000000,0.000000,5.427716,520.571429,52.325000,0.000000,1.875000,0.000000,0.937500,0.200000,200.000000,0.000000,0.000000,0.452556
12.541214,0.000000,14.357697,0.000000,12.541214,14.357697,68.986111,92.160000,1.589286,6.038594,0.794643,3.019297,0.142857,150.000000,0.000000,1.960817,0.870730
5.025024,0.000000,5.468418,0.000000,5.025024,5.468418,50.941327,81.475556,1.708333,5.914172,0.854167,2.957086,0.166667,150.000000,0.000000,0.407757,0.385023
83.253647,0.000000,16.789906,0.000000,83.253647,16.789906,581.333333,132.500000,1.633333,8.426125,0.816667,4.213062,0.200000,150.000000,0.000000,8.975296,0.772485
0.000000,0.000000,6.872077,0.000000,0.000000,6.872077,145.000000,120.680000,0.000000,6.276250,0.000000,3.138125,0.200000,350.000000,0.000000,0.000000,0.427082
60.385435,0.000000,72.669646,0.000000,76.208246,81.967313,676.333333,479.250000,1.633333,7.418839,0.816667,3.709420,0.200000,150.000000,0.000000,6.629267,10.090084
16.858344,0.000000,42.449340,0.000000,16.858344,42.449340,285.500000,552.933673,1.750000,5.501819,0.875000,2.750910,0.166667,150.000000,0.000000,1.237799,2.540620
46.004544,0.000000,7.691421,0.000000,61.827355,16.989087,581.333333,132.500000,1.633333,8.426125,0.816667,4.213062,0.200000,150.000000,0.000000,5.155335,0.825842
18.244939,0.000000,23.454726,0.000000,18.244939,23.454726,425.000000,421.938272,2.000000,5.692500,1.000000,2.846250,0.200000,150.000000,0.000000,0.629254,0.713918
97.634538,0.000000,81.768131,0.000000,97.634538,81.768131,676.333333,479.250000,1.633333,7.418839,0.816667,3.709420,0.200000,150.000000,0.000000,10.449228,10.036726
7.117032,0.000000,133.505621,0.000000,7.117032,133.505621,52.000000,1085.320000,1.750000,6.136245,0.875000,3.068122,0.200000,210.000000,0.000000,1.003929,11.931651
33.023831,0.000000,98.864214,0.000000,33.023831,98.864214,245.250000,760.250000,6.169944,8.876668,3.084972,4.438334,0.200000,60.000000,0.000000,3.388191,11.791033
56.449796,0.000000,-17.751450,0.000000,56.449796,24.579301,421.666667,760.250000,1.633333,8.876668,0.816667,4.438334,0.200000,210.000000,0.000000,5.389280,0.426126
444.005584,0.000000,101.633503,0.000000,444.005584,101.633503,4056.888889,661.180000,5.344797,8.438393,2.672398,4.219197,0.125000,140.000000,0.000000,31.016261,5.944703
23.965340,0.000000,75.301934,0.000000,23.965340,75.301934,200.888889,753.500000,5.846241,10.390495,2.923121,5.195248,0.125000,140.000000,0.000000,2.914929,3.969209
5.835199,0.000000,-9.887972,0.000000,5.835199,35.505229,141.666667,753.500000,1.833333,10.390495,0.916667,5.195248,0.200000,290.000000,0.000000,0.204850,1.492525
74.751149,0.000000,62.946620,0.000000,85.009489,62.946620,509.983471,488.500000,5.956027,12.709957,2.978013,6.354978,0.142857,220.000000,0.000000,9.968407,4.691233
84.153151,0.000000,54.581225,0.000000,84.153151,54.581225,513.128698,104.722222,7.747326,11.643570,3.873663,5.821785,0.083333,160.000000,0.000000,6.082296,1.059762
4.051923,0.000000,14.813802,0.000000,14.310264,14.813802,163.233471,85.500000,6.963312,13.840370,3.481656,6.920185,0.200000,220.000000,0.000000,0.704166,0.752369
9.495502,0.000000,27.062741,0.000000,9.495502,27.062741,84.000000,192.123603,8.412339,15.600090,4.206170,7.800045,0.200000,110.000000,0.000000,0.521753,1.302252
9.612033,0.000000,7.349680,0.000000,9.612033,7.349680,41.917500,33.333333,5.477790,20.340121,2.738895,10.170061,0.285714,300.000000,0.000000,0.628420,0.552326
205.040859,0.000000,80.037777,0.000000,205.040859,80.037777,2097.000000,2142.533333,16.312887,20.696571,8.156443,10.348285,0.166667,60.000000,5.000000,18.166613,17.434862
256.433776,0.000000,104.913514,0.000000,256.433776,104.913514,2097.000000,2142.533333,16.312887,20.696571,8.156443,10.348285,0.166667,60.000000,5.000000,26.568426,24.597399
41.014780,0.000000,80.531430,0.000000,41.014780,80.531430,253.404740,220.412886,16.971773,21.038689,8.485886,10.519344,0.142857,50.000000,5.000000,2.118897,1.676009
49.498278,0.000000,150.967877,0.000000,49.498278,150.967877,82.836839,44.421775,16.474085,21.024057,8.237043,10.512028,0.125000,50.000000,5.000000,0.867561,0.580525
18.705178,0.000000,58.401686,0.000000,18.705178,58.401686,99.293629,66.301775,18.019507,22.147549,9.009754,11.073774,0.200000,50.000000,5.000000,0.853004,0.599442
-36109.877961,0.000000,-2260289.624280,0.000000,36109.877961,2260289.624280,155.831361,140.669633,34.749010,33.423691,17.374505,16.711845,0.062500,30.000000,15.000000,1.741060,1.765560
17.439104,0.000000,-27225.817573,0.000000,31.855063,27225.817573,435.000000,1736.000000,21.452932,38.323046,10.726466,19.161523,0.166667,260.000000,10.000000,2.048658,8.246705
-44317.709341,0.000000,-2253924.234205,0.000000,44317.709341,2253924.234205,155.831361,140.669633,34.749010,33.423691,17.374505,16.711845,0.062500,30.000000,15.000000,1.477585,1.476673
5.667548,0.000000,-355639.446267,0.000000,5.667548,355639.446267,69.190556,37.419286,12.062786,29.393203,6.031393,14.696601,0.200000,340.000000,5.000000,0.405453,0.716680
34.578551,0.000000,-72272.585680,0.000000,36.728813,72272.585680,541.016436,71.834911,6.657521,29.609639,3.328761,14.804819,0.142857,500.000000,0.000000,1.701285,0.791092
42.755991,0.000000,-29364.618679,0.000000,42.755991,29364.618679,435.000000,1736.000000,21.452932,38.323046,10.726466,19.161523,0.166667,260.000000,10.000000,3.724650,10.755172
-1131.950184,0.000000,-70375363.867564,0.000000,1131.950184,70375363.867564,100.053536,158.541867,26.539978,35.249976,13.269989,17.624988,0.142857,180.000000,10.000000,0.920225,1.157195
-948.647872,0.000000,-823467099.669615,0.000000,948.647872,823467099.669615,76.623056,59.522090,27.873703,34.455310,13.936851,17.227655,0.125000,150.000000,10.000000,0.801323,0.856609
3.779638,0.000000,-13968173.157892,0.000000,3.973466,13968173.157892,2068.375000,125.654321,1.571429,36.771235,0.785714,18.385617,0.166667,830.000000,0.000000,0.260624,1.116705
-10554.117350,0.000000,-531551549209.296509,0.000000,10554.117350,531551549209.296509,178.091716,81.194171,31.333302,43.402284,15.666651,21.701142,0.125000,280.000000,15.000000,1.038678,0.979009
-36677.443376,0.000000,-1989706746869.896240,0.000000,36677.443376,1989706746869.896240,96.880000,85.050614,29.129515,31.278580,14.564758,15.639290,0.125000,360.000000,10.000000,0.815129,0.961120
