pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
946.589214,0.000000,1151.054774,0.000000,963.005886,1165.973756,4035.555556,11502.000000,1.900000,5.218365,0.950000,2.609183,0.200000,300.000000,0.000000,158.990954,126.217207
-2.698475,0.000000,90.047945,0.000000,28.467628,90.047945,374.666667,1183.000000,2.166667,7.960986,1.083333,3.980493,0.166667,350.000000,0.000000,2.494091,5.403511
-34.894581,0.000000,536.924457,0.000000,34.894581,536.924457,339.142857,2526.000000,8.111048,6.270340,4.055524,3.135170,0.142857,240.000000,0.000000,2.989705,41.377126
-111.804320,0.000000,6.703010,0.000000,111.804320,71.230177,120.480000,393.440000,7.517611,6.838038,3.758805,3.419019,0.142857,240.000000,0.000000,0.170146,4.334870
97.055567,0.000000,564.930400,0.000000,163.294089,564.930400,339.142857,2526.000000,8.111048,6.270340,4.055524,3.135170,0.142857,240.000000,0.000000,2.232509,35.942768
0.000000,0.000000,6.901919,0.000000,0.000000,6.901919,105.750000,82.015625,0.000000,16.753876,0.000000,8.376938,0.200000,730.000000,0.000000,0.000000,0.496929
0.000000,0.000000,5.368901,0.000000,0.000000,5.368901,56.000000,45.138889,0.000000,17.137373,0.000000,8.568686,0.250000,730.000000,0.000000,0.000000,0.477172
4.578683,0.000000,24.789041,0.000000,4.578683,24.789041,180.000000,27.022222,9.928860,20.090904,4.964430,10.045452,0.200000,140.000000,0.000000,0.278040,0.440177
-0.493947,0.000000,16.334196,0.000000,25.330955,16.334196,730.250000,49.777778,5.363278,18.817744,2.681639,9.408872,0.200000,430.000000,0.000000,0.762312,0.493173
6.527287,0.000000,27.520247,0.000000,6.527287,27.520247,29.375000,25.600000,10.121545,19.223883,5.060772,9.611941,0.200000,140.000000,5.000000,0.243036,0.435014
35.627706,0.000000,29.625173,0.000000,35.627706,29.625173,420.416667,27.022222,11.959619,20.090904,5.979809,10.045452,0.200000,90.000000,5.000000,1.941490,0.498823
-213.437631,0.000000,31.111948,0.000000,223.775072,31.111948,2636.555556,27.022222,3.730556,17.703849,1.865278,8.851924,0.200000,590.000000,0.000000,12.825185,0.430619
545.120226,0.000000,520.102427,0.000000,545.120226,520.102427,2465.555556,660.045351,6.737830,17.960372,3.368915,8.980186,0.200000,140.000000,0.000000,35.634660,6.919183
