pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,-80.439724,0.000000,0.000000,82.329876,51.312500,361.527778,0.000000,3.714286,0.000000,1.857143,0.250000,130.000000,0.000000,0.000000,23.703336
0.000000,0.000000,-17.759426,0.000000,0.000000,23.838331,392.250000,109.440000,0.000000,8.758333,0.000000,4.379167,0.200000,410.000000,0.000000,0.000000,0.640724
0.000000,0.000000,-69.531451,0.000000,0.000000,69.531451,377.638889,112.205000,0.000000,6.857222,0.000000,3.428611,0.200000,410.000000,0.000000,0.000000,1.093898
3.909283,0.000000,2.364150,0.000000,3.909283,3.714754,68.394133,117.222222,5.066667,7.310000,2.533333,3.655000,0.200000,280.000000,0.000000,0.392677,0.770981
23.035329,0.000000,13.032352,0.000000,23.035329,14.382955,55.632500,69.018141,4.400000,7.366250,2.200000,3.683125,0.200000,280.000000,0.000000,6.461381,1.335488
-86.567287,0.000000,-9.091275,0.000000,128.250730,36.506583,378.320000,57.795918,4.000000,8.156250,2.000000,4.078125,0.142857,280.000000,0.000000,29.849312,1.168352
73.822554,0.000000,-64.586712,0.000000,73.822554,64.586712,465.312500,134.960556,3.888889,6.457222,1.944444,3.228611,0.200000,280.000000,0.000000,8.485810,1.402518
-12.560075,0.000000,-4917.956338,0.000000,12.560075,4917.956338,118.512438,153.854875,5.765972,16.944315,2.882986,8.472157,0.125000,90.000000,0.000000,1.030332,2.194322
-10.138013,0.000000,-140.338115,0.000000,10.138013,140.338115,42.951111,336.666667,10.253458,16.145048,5.126729,8.072524,0.166667,60.000000,5.000000,0.328672,2.242249
-3.571846,0.000000,-166.412389,0.000000,5.736235,166.412389,46.329660,70.666667,5.628750,15.656902,2.814375,7.828451,0.200000,90.000000,0.000000,0.295963,1.557030
14.381875,0.000000,-3097.399380,0.000000,14.381875,3097.399380,185.326531,176.111111,6.583333,26.637469,3.291667,13.318735,0.250000,130.000000,0.000000,1.272438,1.291254
-49.886113,0.000000,-10142.579045,0.000000,49.886113,10142.579045,86.857041,95.471111,17.732393,24.868073,8.866197,12.434037,0.090909,40.000000,5.000000,2.262993,2.130917
-143958.752543,0.000000,-19217805.551314,0.000000,143958.752543,19217805.551314,84.695988,58.500000,25.568627,29.668169,12.784314,14.834084,0.166667,30.000000,10.000000,2.024111,1.270338
-31261.461970,0.000000,-21613540.721009,0.000000,31261.461970,21613540.721009,85.314050,50.911243,22.964725,29.123726,11.482363,14.561863,0.142857,120.000000,10.000000,1.194129,1.009819
-2372.516838,0.000000,-7311.292064,0.000000,2372.516838,7311.292064,40.109375,51.758781,36.598258,38.653491,18.299129,19.326745,0.200000,30.000000,15.000000,1.076586,1.299904
22.386725,0.000000,-2380632933.260792,0.000000,22.386725,2380632933.260792,127.710648,186.350793,5.163889,47.087138,2.581944,23.543569,0.111111,310.000000,0.000000,3.609785,2.736113
-50.660175,0.000000,-486.966412,0.000000,50.660175,486.966412,414.111111,770.000000,38.609280,43.999558,19.304640,21.999779,0.200000,120.000000,15.000000,0.934827,3.750437
-41.399860,0.000000,-513.507963,0.000000,41.399860,513.507963,414.111111,770.000000,38.609280,43.999558,19.304640,21.999779,0.200000,120.000000,15.000000,1.604345,7.403202
22.978632,0.000000,-2404135374.233249,0.000000,22.978632,2404135374.233249,127.710648,186.350793,5.163889,47.087138,2.581944,23.543569,0.111111,310.000000,0.000000,3.669836,2.776974
-403.478726,0.000000,-85785434766.852951,0.000000,403.478726,85785434766.852951,103.024691,99.881657,23.142643,56.809586,11.571321,28.404793,0.166667,320.000000,10.000000,1.027658,1.577644
-13464336.224474,0.000000,-12154584662.293758,0.000000,13464336.224474,12154584662.293758,34.752500,36.000000,37.459156,44.850329,18.729578,22.425164,0.200000,130.000000,15.000000,0.881217,0.968696
-544.533325,0.000000,-82008446269.394119,0.000000,544.533325,82008446269.394119,103.024691,99.881657,23.142643,56.809586,11.571321,28.404793,0.166667,320.000000,10.000000,1.089669,1.602489
-41.041320,0.000000,-169710746.953598,0.000000,43.738615,169710746.953598,165.061144,125.076531,13.523480,46.522651,6.761740,23.261326,0.090909,370.000000,5.000000,4.994104,1.752114
-7448340.852493,0.000000,-6760697.728106,0.000000,7448340.852493,6760697.728106,83.962810,101.267152,26.213597,27.189700,13.106798,13.594850,0.083333,30.000000,10.000000,1.308609,44.054987
-1523975.603811,0.000000,-12891872.070467,0.000000,1523975.603811,12891872.070467,42.840237,55.599174,48.933681,52.931509,24.466841,26.465754,0.250000,20.000000,20.000000,3.921837,1.084525
-6485569.049328,0.000000,-146756966.524940,0.000000,6485569.049328,146756966.524940,82.278107,60.117188,37.660865,53.245773,18.830433,26.622887,0.100000,170.000000,15.000000,0.879513,3.017701
-593813695934989548724321521762304.000000,0.000000,-4799013940257729582505664902552616960.000000,0.000000,593813695934989548724321521762304.000000,4799013940257729582505664902552616960.000000,409.491996,407.800807,54.677578,62.965290,27.338789,31.482645,0.030303,130.000000,25.000000,9.881404,3.822249
-455680677775544532342489879674880.000000,0.000000,-4455981692118821258568996742315900928.000000,0.000000,455680677775544532342489879674880.000000,4455981692118821258568996742315900928.000000,409.491996,407.800807,54.677578,62.965290,27.338789,31.482645,0.030303,130.000000,25.000000,10.022041,3.954515
-50887800732869748712608215296945160192.000000,0.000000,-55487871467629563278456699301765749524418868090991988965376.000000,0.000000,50887800732869748712608215296945160192.000000,55487871467629563278456699301765749524418868090991988965376.000000,434.031786,234.289140,68.747059,97.169734,34.373530,48.584867,0.055556,690.000000,30.000000,3.423663,2.762857
-63961734970818136439647567941692555264.000000,0.000000,-51146819290906842434719411586544601554743502649303765090304.000000,0.000000,63961734970818136439647567941692555264.000000,51146819290906842434719411586544601554743502649303765090304.000000,434.031786,234.289140,68.747059,97.169734,34.373530,48.584867,0.055556,690.000000,30.000000,3.570783,2.762857
834.486170,0.000000,144.092768,0.000000,836.012805,281.305637,2052.222222,198.000000,3.777778,9.908333,1.888889,4.954167,0.200000,10.000000,0.000000,201.861893,30.164463
-446.403421,0.000000,-296.154174,0.000000,446.403421,296.154174,2052.222222,198.000000,3.777778,9.908333,1.888889,4.954167,0.200000,10.000000,0.000000,67.967000,0.430596
3.490525,0.000000,-143.844837,0.000000,3.634663,143.844837,45.687500,95.312500,4.400000,17.750438,2.200000,8.875219,0.200000,70.000000,0.000000,0.575627,1.065472
