pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,41.847561,0.000000,0.000000,41.847561,14592.000000,1237.000000,0.000000,2.076923,0.000000,1.038462,0.111111,30.000000,0.000000,0.000000,1.479034
1.383241,0.000000,3.753244,0.000000,1.499393,3.753244,62.406795,47.501775,1.666667,5.380875,0.833333,2.690437,0.200000,80.000000,0.000000,0.073767,0.165603
16.165903,0.000000,10.300898,0.000000,16.165903,10.300898,285.552469,100.644999,4.596429,7.625508,2.298214,3.812754,0.142857,30.000000,0.000000,0.471088,0.285995
12.600578,0.000000,10.529028,0.000000,12.600578,10.529028,285.552469,100.644999,4.596429,7.625508,2.298214,3.812754,0.142857,30.000000,0.000000,0.471088,0.285995
29.759619,0.000000,11.063202,0.000000,29.759619,11.063202,1107.000000,100.644999,2.076923,7.625508,1.038462,3.812754,0.142857,80.000000,0.000000,1.052501,0.285995
34.021657,0.000000,10.835072,0.000000,34.021657,10.835072,1107.000000,100.644999,2.076923,7.625508,1.038462,3.812754,0.142857,80.000000,0.000000,1.004302,0.285995
1.900780,0.000000,1.714926,0.000000,4.674550,1.714926,111.650290,65.220222,5.195813,7.524147,2.597906,3.762074,0.100000,20.000000,0.000000,0.198380,0.231401
2.003696,0.000000,8.461093,0.000000,7.254600,8.461093,171.500000,136.765840,4.532143,9.244630,2.266071,4.622315,0.166667,50.000000,0.000000,0.210704,0.357486
5.569020,0.000000,8.164763,0.000000,10.819925,8.164763,171.500000,136.765840,4.532143,9.244630,2.266071,4.622315,0.166667,50.000000,0.000000,0.210704,0.357486
13.319776,0.000000,4.518042,0.000000,13.319776,4.518042,280.000000,84.250740,3.706250,8.432438,1.853125,4.216219,0.200000,120.000000,0.000000,0.437050,0.276074
-0.058076,0.000000,4.116787,0.000000,0.058076,4.116787,474.851240,83.875740,1.523810,11.647179,0.761905,5.823590,0.142857,180.000000,0.000000,0.030476,0.356895
0.337563,0.000000,3.698181,0.000000,0.453714,3.698181,39.101240,95.801653,1.666667,10.336841,0.833333,5.168421,0.250000,180.000000,0.000000,0.042176,0.354844
