thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi,duration,theta,stability_bin,pre_E_total,post_E_total
2,162.460882,0.000000,-3800.000000,0.000000,162.460882,3800.000000,3140.000000,380.000000,15.602403,39.781133,7.801202,19.890567,60,60,0.166667,147.000000,0.000000,5.000000,9.599359,0.846514
2,149.517623,0.000000,-3800.000000,0.000000,149.517623,3800.000000,3140.000000,380.000000,15.602403,39.781133,7.801202,19.890567,60,60,0.166667,147.000000,0.000000,5.000000,9.599359,0.846514
2,138.387440,0.000000,-3800.000000,0.000000,138.387440,3800.000000,3140.000000,380.000000,15.602403,39.781133,7.801202,19.890567,60,60,0.166667,147.000000,0.000000,5.000000,9.599359,0.846514
2,-120.389416,0.000000,-1640.000000,0.000000,179.960618,1640.000000,4413.750000,164.000000,17.298895,30.018505,8.649447,15.009253,90,90,0.100000,105.000000,0.000000,5.000000,8.671441,0.763360
2,-791.142864,0.000000,-1640.000000,0.000000,791.142864,1640.000000,178.500000,164.000000,23.286393,32.562173,11.643197,16.281087,10,100,0.285714,84.000000,0.000000,10.000000,0.620294,0.853132
2,-706.984251,0.000000,-1725.432099,0.000000,706.984251,1725.432099,155.836735,172.543210,23.404013,38.203908,11.702007,19.101954,110,10,0.250000,54.000000,0.000000,10.000000,0.594826,0.978931
2,-773.901808,0.000000,-5040.000000,0.000000,773.901808,5040.000000,124.416667,504.000000,33.416080,53.385329,16.708040,26.692665,10,100,0.166667,103.000000,0.000000,15.000000,0.768471,1.696309
2,-1287.549459,0.000000,-1725.432099,0.000000,1287.549459,1725.432099,155.836735,172.543210,23.404013,38.203908,11.702007,19.101954,20,10,0.250000,54.000000,0.000000,10.000000,0.607999,0.978931
2,-1068.483441,0.000000,-5040.000000,0.000000,1068.483441,5040.000000,189.319728,504.000000,35.446621,53.385329,17.723311,26.692665,110,110,0.166667,54.000000,0.000000,15.000000,0.936119,1.696309
2,-724.712222,0.000000,-5040.000000,0.000000,724.712222,5040.000000,124.416667,504.000000,33.416080,53.385329,16.708040,26.692665,100,10,0.166667,103.000000,0.000000,15.000000,0.768471,1.696309
2,-818.100218,0.000000,-5040.000000,0.000000,818.100218,5040.000000,124.416667,504.000000,33.416080,53.385329,16.708040,26.692665,10,100,0.166667,103.000000,0.000000,15.000000,0.768471,1.696309
2,-1068.483441,0.000000,-5040.000000,0.000000,1068.483441,5040.000000,189.319728,504.000000,35.446621,53.385329,17.723311,26.692665,110,110,0.166667,54.000000,0.000000,15.000000,0.936119,1.696309
2,-1068.483441,0.000000,-5040.000000,0.000000,1068.483441,5040.000000,189.319728,504.000000,35.446621,53.385329,17.723311,26.692665,110,110,0.166667,54.000000,0.000000,15.000000,0.936119,1.696309
2,-670.534810,0.000000,-1632.932099,0.000000,670.534810,1632.932099,857.183673,163.293210,19.675464,42.845265,9.837732,21.422633,10,110,0.125000,89.000000,0.000000,5.000000,1.398714,1.061888
2,-943.129230,0.000000,-1632.932099,0.000000,943.129230,1632.932099,2402.125000,163.293210,24.081251,42.845265,12.040625,21.422633,130,30,0.125000,68.000000,0.000000,10.000000,4.404750,1.061888
2,-1203.566667,0.000000,-790.400000,0.000000,1203.566667,790.400000,120.356667,79.040000,40.021908,69.368356,20.010954,34.684178,10,120,0.166667,144.000000,0.000000,20.000000,0.900417,1.488834
2,-1203.566667,0.000000,-790.400000,0.000000,1203.566667,790.400000,120.356667,79.040000,40.021908,69.368356,20.010954,34.684178,10,120,0.166667,144.000000,0.000000,20.000000,0.900417,1.488834
2,-3996.900000,0.000000,-790.400000,0.000000,3996.900000,790.400000,399.690000,79.040000,40.011867,69.368356,20.005934,34.684178,140,30,0.111111,131.000000,0.000000,20.000000,3.075456,1.488834
2,-1203.566667,0.000000,-790.400000,0.000000,1203.566667,790.400000,120.356667,79.040000,40.021908,69.368356,20.010954,34.684178,10,120,0.166667,144.000000,0.000000,20.000000,0.900417,1.488834
2,-7576.390533,0.000000,-717.777778,0.000000,7576.390533,717.777778,757.639053,71.777778,38.198905,56.987640,19.099453,28.493820,50,100,0.111111,151.000000,0.000000,15.000000,1.707208,1.229006
