chi,dp_norm,coh,stab,rad,size,ratio
0.083333,1.000000,2.636364,2.184776,1.590909,12.000000,0.725000
0.083333,0.883220,2.578947,2.080865,1.900585,19.000000,0.720588
0.272727,0.984345,6.250000,2.359219,1.750000,33.000000,0.862069
0.166667,0.483409,1.714286,3.739780,1.714286,15.000000,0.631579
0.250000,0.185625,2.666667,5.567236,1.533333,6.000000,0.727273
0.166667,0.297122,4.100000,4.959850,1.836923,26.000000,0.803922
0.125000,0.044786,1.827586,4.177360,1.887446,22.000000,0.646341
0.142857,0.210203,2.307692,7.960453,1.883598,28.000000,0.697674
0.142857,0.098907,2.307692,7.960453,1.883598,28.000000,0.697674
0.125000,0.734209,4.156250,5.157866,2.107962,39.000000,0.806061
0.066667,0.399137,2.375000,12.099241,1.895161,32.000000,0.703704
0.142857,0.476369,2.307692,7.960453,1.883598,28.000000,0.697674
0.142857,0.424174,2.307692,7.960453,1.883598,28.000000,0.697674
0.066667,0.718280,2.375000,12.099241,1.895161,32.000000,0.703704
0.111111,0.702811,2.200000,6.129914,2.032680,18.000000,0.687500
0.250000,0.166663,1.640000,7.726875,1.716667,16.000000,0.621212
0.200000,0.166667,1.625000,12.411135,1.422222,10.000000,0.619048
0.125000,0.692799,1.428571,18.326803,1.666667,10.000000,0.588235
0.125000,1.000000,1.071429,6.473816,1.500000,8.000000,0.517241
0.125000,1.000000,1.071429,6.473816,1.500000,8.000000,0.517241
0.125000,0.066667,1.625000,10.467246,1.071429,8.000000,0.619048
0.125000,1.000000,1.071429,6.473816,1.500000,8.000000,0.517241
0.125000,1.000000,1.428571,18.326803,1.666667,10.000000,0.588235
0.125000,0.779436,2.064516,7.115652,1.876812,24.000000,0.673684
0.125000,0.480887,2.571429,9.991438,2.046942,38.000000,0.720000
0.125000,0.328233,2.200000,6.291314,1.714286,8.000000,0.687500
0.076923,0.034755,3.851064,10.555868,2.274286,50.000000,0.793860
0.076923,0.886753,4.600000,5.327211,2.128205,13.000000,0.821429
0.090909,0.653936,1.315789,7.652839,1.636364,11.000000,0.568182
0.111111,0.012553,3.851064,10.555868,2.274286,50.000000,0.793860
0.111111,0.073797,3.851064,10.555868,2.274286,50.000000,0.793860
0.090909,0.653936,1.315789,7.652839,1.636364,11.000000,0.568182
0.250000,0.818405,1.827586,4.177360,1.887446,22.000000,0.646341
0.285714,0.221211,2.800000,9.039801,2.046942,38.000000,0.736842
0.285714,0.299412,3.851064,10.555868,2.274286,50.000000,0.793860
0.125000,0.250000,1.555556,8.365794,1.500000,8.000000,0.608696
0.062500,0.056090,4.750000,6.737905,1.775000,16.000000,0.826087
0.062500,0.189379,3.321839,15.991877,2.366058,73.000000,0.768617
0.062500,0.056090,4.750000,6.737905,1.775000,16.000000,0.826087
0.062500,0.183244,3.321839,15.991877,2.366058,73.000000,0.768617
