chi,dp,coh,stab,rad,size,ratio
0.090909,0.20998999999999945,1.5,0.590909,1.2,10,0.5
0.090909,4.415707,1.5,0.536932,1.2,10,0.5
0.2,0.6075349999999999,1.5,0.9,1.2,10,0.5
0.2,2.8428829999999996,1.5,0.8125,1.2,10,0.5
0.142857,1.1787,1.5,1.890675,1.2,10,0.5
0.142857,4.596338,1.5,1.890675,1.2,10,0.5
0.083333,0.8958840000000006,1.5,1.533391,1.2,10,0.5
0.125,7.1345790000000004,1.5,0.625,1.2,10,0.5
0.142857,1.5452079999999997,1.5,0.732143,1.2,10,0.5
0.125,6.214301000000001,1.5,0.625,1.2,10,0.5
0.142857,0.6249289999999998,1.5,0.732143,1.2,10,0.5
0.166667,7.081492000000001,1.5,0.620301,1.2,10,0.5
0.166667,0.7336740000000002,1.5,1.835938,1.2,10,0.5
0.142857,6.364101,1.5,0.620301,1.2,10,0.5
0.111111,5.6330089999999995,1.5,1.627083,1.2,10,0.5
0.2,1.036429,1.5,10.028468,1.2,10,0.5
0.066667,8.319395000000002,1.5,7.082257,1.2,10,0.5
0.052632,7.018618,1.5,7.398396,1.2,10,0.5
0.2,45.410761,1.5,3.678084,1.2,10,0.5
0.111111,5.801897,1.5,0.0,1.2,10,0.5
0.125,6.624858000000001,1.5,0.888889,1.2,10,0.5
0.166667,3.701191,1.5,0.0,1.2,10,0.5
0.2,0.6706900000000002,1.5,2.077778,1.2,10,0.5
0.125,0.37103100000000033,1.5,1.891875,1.2,10,0.5
0.083333,0.2473700000000001,1.5,1.946779,1.2,10,0.5
0.2,1.2377020000000005,1.5,1.6083,1.2,10,0.5
0.25,0.13001000000000018,1.5,2.2,1.2,10,0.5
0.166667,0.21554200000000012,1.5,2.279089,1.2,10,0.5
0.090909,10.042003999999999,1.5,5.723076,1.2,10,0.5
0.1,41.422395,1.5,5.744038,1.2,10,0.5
0.1,148.427481,1.5,4.94289,1.2,10,0.5
0.083333,81.469919,1.5,8.692194,1.2,10,0.5
0.076923,12.206703999999998,1.5,5.370634,1.2,10,0.5
0.111111,133.71972499999998,1.5,4.231781,1.2,10,0.5
0.058824,654.216269,1.5,7.791414,1.2,10,0.5
0.055556,658.6499889999999,1.5,6.672901,1.2,10,0.5
0.083333,122.36745000000002,1.5,7.150517,1.2,10,0.5
0.071429,378.702226,1.5,7.915982,1.2,10,0.5
0.055556,2438.3449650000002,1.5,9.459211,1.2,10,0.5
0.090909,6923.81324,1.5,8.193384,1.2,10,0.5
0.111111,4839.042724000001,1.5,8.384844,1.2,10,0.5
0.045455,2096.992684,1.5,15.190303,1.2,10,0.5
0.083333,14.49725999999987,1.5,9.224389,1.2,10,0.5
0.2,523.2382570000001,1.5,0.916667,1.2,10,0.5
0.083333,1167.0077099999999,1.5,15.489458,1.2,10,0.5
0.083333,263.5305780000001,1.5,14.277812,1.2,10,0.5
0.083333,221.75870399999997,1.5,14.783075,1.2,10,0.5
0.2,28.531478,1.5,2.016389,1.2,10,0.5
0.2,24.079166999999998,1.5,2.016389,1.2,10,0.5
0.2,21.693731000000003,1.5,1.632188,1.2,10,0.5
0.2,43.628914,1.5,1.632188,1.2,10,0.5
0.2,22.568961,1.5,1.78,1.2,10,0.5
0.2,7.312715999999998,1.5,4.219427,1.2,10,0.5
0.2,8.291432,1.5,4.219427,1.2,10,0.5
0.2,64.44012700000002,1.5,2.990312,1.2,10,0.5
0.2,6.131726000000015,1.5,2.990312,1.2,10,0.5
0.125,189.42565399999998,1.5,3.001558,1.2,10,0.5
0.125,148.4644,1.5,3.001558,1.2,10,0.5
0.125,0.24765099999999052,1.5,6.677111,1.2,10,0.5
0.125,2860.044721,1.5,4.340277,1.2,10,0.5
0.033333,2139.27543,1.5,15.825158,1.2,10,0.5
0.033333,2139.27543,1.5,15.825158,1.2,10,0.5
0.125,2864.152207,1.5,4.340277,1.2,10,0.5
0.125,2862.842833,1.5,4.340277,1.2,10,0.5
0.125,2861.354094,1.5,4.340277,1.2,10,0.5
0.032258,1497.5060630000003,1.5,21.955704,1.2,10,0.5
0.047619,706.4685250000002,1.5,13.309058,1.2,10,0.5
0.043478,689.761915,1.5,14.846649,1.2,10,0.5
0.043478,689.761915,1.5,14.846649,1.2,10,0.5
0.027778,2319.3295229999994,1.5,20.439728,1.2,10,0.5
0.027778,2319.3295229999994,1.5,20.439728,1.2,10,0.5
0.027778,2319.3295229999994,1.5,20.439728,1.2,10,0.5
0.083333,159.32952300000034,1.5,20.315155,1.2,10,0.5
0.125,1229.164643,1.5,11.764901,1.2,10,0.5
0.125,1229.164643,1.5,11.764901,1.2,10,0.5
0.125,3.128955,1.5,2.408574,1.2,10,0.5
0.2,0.43437699999999957,1.5,3.438048,1.2,10,0.5
0.166667,27.299382000000037,1.5,12.421331,1.2,10,0.5
0.083333,1420.732641,1.5,2.652299,1.2,10,0.5
0.076923,1685.401487,1.5,4.339885,1.2,10,0.5
0.083333,135.21679700000004,1.5,13.267711,1.2,10,0.5
0.111111,255.86323100000004,1.5,11.170001,1.2,10,0.5
0.090909,1361.157591,1.5,8.378601,1.2,10,0.5
0.2,1345.833333,1.5,0.0,1.2,10,0.5
0.047619,521.63104,1.5,13.2207,1.2,10,0.5
0.058824,296.38785399999983,1.5,17.932494,1.2,10,0.5
0.090909,4604.248584999999,1.5,0.454545,1.2,10,0.5
0.125,2927.8666350000003,1.5,9.847992,1.2,10,0.5
0.111111,247.51186500000006,1.5,14.681944,1.2,10,0.5
0.166667,938.348456,1.5,7.742024,1.2,10,0.5
