pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,450.397171,0.000000,0.000000,450.397171,567.500000,1436.000000,0.000000,3.571429,0.000000,1.785714,0.200000,180.000000,0.000000,0.000000,100.073759
0.000000,0.000000,449.604601,0.000000,0.000000,449.926850,533.472222,1416.000000,0.000000,3.571429,0.000000,1.785714,0.200000,180.000000,0.000000,0.000000,100.067217
14.593280,0.000000,11.685988,0.000000,15.343694,11.685988,95.312500,96.000000,3.600000,8.410000,1.800000,4.205000,0.200000,90.000000,0.000000,2.011127,1.147172
3.143990,0.000000,7.612235,0.000000,3.143990,7.612235,26.666667,49.815000,8.400000,10.735417,4.200000,5.367708,0.250000,40.000000,0.000000,0.321523,0.986251
28.041938,0.000000,15.816541,0.000000,28.041938,15.816541,199.937500,372.937500,9.366220,15.458696,4.683110,7.729348,0.142857,10.000000,0.000000,2.915631,1.408364
-0.972713,0.000000,5.537131,0.000000,0.972713,5.537131,95.312500,44.142857,3.600000,17.795827,1.800000,8.897914,0.200000,170.000000,0.000000,0.114762,0.726666
11.539071,0.000000,99.578274,0.000000,11.539071,99.578274,43.312500,465.312500,22.014138,23.177093,11.007069,11.588546,0.200000,60.000000,10.000000,0.819344,11.028691
2.643639,0.000000,49.693717,0.000000,2.643639,49.693717,46.662222,28.800000,15.434318,33.974775,7.717159,16.987388,0.200000,280.000000,5.000000,0.433625,0.724717
108.400690,0.000000,78.132407,0.000000,108.400690,78.132407,425.555556,187.403577,37.243548,40.256878,18.621774,20.128439,0.071429,20.000000,15.000000,6.660288,3.239837
97.301602,0.000000,67.876105,0.000000,97.301602,67.876105,425.555556,187.403577,37.243548,40.256878,18.621774,20.128439,0.071429,20.000000,15.000000,5.267018,2.605305
69.080615,0.000000,241.202417,0.000000,69.080615,241.202417,207.672004,361.078017,45.993197,52.800337,22.996598,26.400168,0.090909,70.000000,20.000000,3.116390,4.638097
63.711015,0.000000,218.580284,0.000000,63.711015,218.580284,207.672004,361.078017,45.993197,52.800337,22.996598,26.400168,0.090909,70.000000,20.000000,2.530335,3.727466
1.377991,0.000000,3.366606,0.000000,2.533520,3.366606,62.246955,55.979167,47.831588,45.697366,23.915794,22.848683,0.222222,40.000000,20.000000,1.042133,1.112957
220.599602,0.000000,952403638.148834,0.000000,220.599602,952403638.148834,185.255329,171.688060,72.844239,87.516532,36.422119,43.758266,0.038462,330.000000,35.000000,1.838674,2.177470
387.467378,0.000000,2077029853585899008.000000,0.000000,387.467378,2077029853585899008.000000,162.285552,125.406006,85.262585,89.833791,42.631293,44.916896,0.062500,1140.000000,40.000000,1.963732,2.296017
421.847443,0.000000,2353008369675972608.000000,0.000000,421.847443,2353008369675972608.000000,162.285552,125.406006,85.262585,89.833791,42.631293,44.916896,0.062500,1140.000000,40.000000,2.007710,2.329575
5.766122,0.000000,65.008397,0.000000,5.766122,65.008397,51.312500,355.555556,4.000000,10.942000,2.000000,5.471000,0.250000,150.000000,0.000000,0.958122,8.158547
5.165937,0.000000,61.714187,0.000000,5.165937,61.714187,30.625000,334.285714,4.000000,10.824929,2.000000,5.412464,0.200000,150.000000,0.000000,0.968544,8.029825
1819.141992,0.000000,19.351156,0.000000,1821.770742,23.024075,3998.222222,43.940000,3.454545,10.018490,1.727273,5.009245,0.200000,150.000000,0.000000,577.642280,1.708648
119.979179,0.000000,42.826338,0.000000,122.072397,42.826338,299.756944,172.160000,7.705000,16.596874,3.852500,8.298437,0.200000,110.000000,0.000000,29.150881,9.198819
-83.087965,0.000000,-7.743545,0.000000,83.087965,15.011914,299.756944,172.160000,7.705000,16.596874,3.852500,8.298437,0.200000,110.000000,0.000000,16.558774,0.552730
58.955034,0.000000,38.623026,0.000000,62.719062,38.623026,28.112500,48.800000,15.282250,26.416695,7.641125,13.208348,0.200000,40.000000,5.000000,2.697965,1.636148
28.775669,0.000000,25.553978,0.000000,28.775669,25.553978,168.500000,162.484375,10.002031,18.164751,5.001016,9.082376,0.250000,40.000000,5.000000,1.791610,1.372277
16.347448,0.000000,34.323999,0.000000,20.111476,34.323999,28.112500,48.800000,15.282250,26.416695,7.641125,13.208348,0.200000,40.000000,5.000000,0.561700,0.634936
2.459815,0.000000,67.749330,0.000000,2.459815,67.749330,51.312500,767.875000,4.000000,21.852226,2.000000,10.926113,0.250000,360.000000,0.000000,0.180423,4.663009
