pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
3.181607,0.000000,-50.127606,0.000000,26.473791,50.127606,907.361111,369.625000,3.760278,6.863563,1.880139,3.431781,0.111111,30.000000,0.000000,0.577809,0.599303
11.486600,0.000000,-6.264819,0.000000,12.197111,16.688596,481.111111,369.625000,1.500000,6.863563,0.750000,3.431781,0.200000,120.000000,0.000000,1.243058,3.290586
12.339498,0.000000,-425.411276,0.000000,12.339498,425.411276,35.440000,470.132500,1.833333,8.141640,0.916667,4.070820,0.250000,180.000000,0.000000,3.112020,12.560619
6.115323,0.000000,-302.251435,0.000000,6.565263,302.251435,49.815000,470.132500,1.666667,8.141640,0.833333,4.070820,0.200000,180.000000,0.000000,1.552006,52.598517
2.398569,0.000000,687.175026,0.000000,11.222448,687.175026,1237.000000,2400.000000,6.816585,8.311368,3.408293,4.155684,0.166667,40.000000,0.000000,0.593386,170.508884
-65.082063,0.000000,-497.428249,0.000000,65.082063,497.428249,1512.000000,158.285714,10.464970,15.102793,5.232485,7.551397,0.125000,40.000000,5.000000,0.992064,0.656490
160.472707,0.000000,-444.041915,0.000000,160.472707,444.041915,1512.000000,158.285714,10.464970,15.102793,5.232485,7.551397,0.125000,40.000000,5.000000,17.557611,0.515271
101.298796,0.000000,-430.884082,0.000000,154.996748,430.884082,1512.000000,158.285714,10.464970,15.102793,5.232485,7.551397,0.125000,40.000000,5.000000,9.781336,0.572210
-5.908151,0.000000,-510.586082,0.000000,70.558022,510.586082,1512.000000,158.285714,10.464970,15.102793,5.232485,7.551397,0.125000,40.000000,5.000000,8.768340,0.599550
-5.217562,0.000000,680.898758,0.000000,5.217562,680.898758,1237.000000,2400.000000,6.816585,8.311368,3.408293,4.155684,0.166667,40.000000,0.000000,0.377252,167.294571
-24.835334,0.000000,-220.755549,0.000000,24.835334,220.755549,163.844444,135.833333,9.184953,11.046057,4.592477,5.523028,0.142857,20.000000,0.000000,0.364199,9.632708
