pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,-224.452614,0.000000,0.000000,224.452614,447.750000,174.375000,0.000000,11.225000,0.000000,5.612500,0.166667,100.000000,0.000000,0.000000,20.169877
307.068981,0.000000,-75.761247,0.000000,307.068981,75.761247,621.930556,174.375000,4.515152,11.225000,2.257576,5.612500,0.166667,20.000000,0.000000,96.005678,0.442469
304.685399,0.000000,-31.173554,0.000000,304.685399,31.173554,618.777778,198.000000,4.181818,9.908333,2.090909,4.954167,0.200000,20.000000,0.000000,96.010874,2.630366
-123.788717,0.000000,-179.864921,0.000000,124.372617,179.864921,618.777778,198.000000,4.181818,9.908333,2.090909,4.954167,0.200000,20.000000,0.000000,18.144759,22.357774
-131.050435,0.000000,-339.374640,0.000000,131.050435,339.374640,210.306122,106.443636,11.900000,12.451236,5.950000,6.225618,0.250000,140.000000,5.000000,20.145408,2.507839
-30.002182,0.000000,-306.658135,0.000000,31.382328,306.658135,210.306122,106.443636,11.900000,12.451236,5.950000,6.225618,0.250000,140.000000,5.000000,0.418000,6.209768
-39.857090,0.000000,-78.251855,0.000000,40.017077,78.251855,90.080000,1157.333333,11.733281,14.386208,5.866641,7.193104,0.250000,80.000000,5.000000,1.010714,82.308524
-28.809008,0.000000,29.217131,0.000000,28.968995,73.202727,90.080000,1157.333333,11.733281,14.386208,5.866641,7.193104,0.250000,80.000000,5.000000,4.712643,178.640883
-19.061715,0.000000,-348.332966,0.000000,64.205624,348.332966,558.613636,83.296875,12.420455,16.551609,6.210227,8.275805,0.111111,80.000000,5.000000,2.408988,1.201605
640.422893,0.000000,170.306995,0.000000,640.422893,170.306995,2119.111111,275.444444,9.944861,12.393522,4.972431,6.196761,0.142857,80.000000,0.000000,132.735906,5.162788
-25.065171,0.000000,-1078.538718,0.000000,66.922673,1078.538718,57.597222,350.375000,26.787632,31.236117,13.393816,15.618058,0.200000,30.000000,10.000000,0.590012,7.458044
-189.827190,0.000000,-1471.687957,0.000000,189.827190,1471.687957,57.597222,350.375000,26.787632,31.236117,13.393816,15.618058,0.200000,30.000000,10.000000,1.541154,1.881632
-35.850120,0.000000,66.189059,0.000000,103.381005,66.189059,228.500000,109.937500,13.020574,20.376414,6.510287,10.188207,0.250000,50.000000,5.000000,0.440411,11.737431
